original_pipeline,original_pipeline_preprocess,original_pipeline_eval,detect_eval_1,detect_eval_1_detect,detect_eval_1_eval,fix_eval_1,fix_eval_1_fix,fix_eval_1_eval,explanation_1,original_pipeline_diff,original_pipeline_diff_preprocess,original_pipeline_diff_eval,detect_eval_2,detect_eval_2_detect,detect_eval_2_eval,fix_eval_2,fix_eval_2_fix,fix_eval_2_eval,explanation_2
13299.08299446106,2704.880952835083,10594.202041625977,14051.578760147095,3004.343032836914,11047.23572731018,29348.757028579712,18716.883897781372,10631.87313079834,,14171.454906463623,3540.785074234009,10630.669832229614,14355.615139007568,3699.502944946289,10656.11219406128,32546.787977218628,21872.478008270264,10674.309968948364,
13910.475969314575,3284.2319011688232,10626.244068145752,13992.191076278687,3364.102840423584,10628.088235855103,31580.42287826538,20956.20369911194,10624.219179153442,,14410.133123397827,3800.4329204559326,10609.700202941895,14577.467918395996,3929.741859436035,10647.726058959961,30308.092832565308,19695.717811584473,10612.375020980835,
14889.978885650635,4263.3678913116455,10626.61099433899,14454.15711402893,3826.165199279785,10627.991914749146,31357.666730880737,20745.274782180786,10612.391948699951,,14879.85634803772,4268.888235092163,10610.968112945557,15375.715970993042,4380.944013595581,10994.771957397461,31951.11608505249,21344.541788101196,10606.574296951294,
14709.511041641235,4101.4649868011475,10608.046054840088,14948.469877243042,4319.0758228302,10629.394054412842,30610.865831375122,20002.34866142273,10608.517169952393,,15286.715745925903,4674.2730140686035,10612.4427318573,15512.868881225586,4867.412090301514,10645.456790924072,33259.13906097412,22651.784896850586,10607.354164123535,
15227.366209030151,4617.648124694824,10609.718084335327,15506.517887115479,4871.472120285034,10635.045766830444,32659.19303894043,22054.025888442993,10605.167150497437,,15851.82499885559,5235.3081703186035,10616.516828536987,16022.922039031982,5378.6139488220215,10644.308090209961,31283.366918563843,20684.91816520691,10598.448753356934,
17084.43307876587,6323.342084884644,10761.090993881226,18648.799896240234,7527.853012084961,11120.946884155273,33321.017026901245,22626.283884048462,10694.733142852783,,17355.278253555298,6673.473119735718,10681.80513381958,17593.492031097412,6902.113914489746,10691.378116607666,34982.79428482056,24296.775341033936,10686.018943786621,
16998.60978126526,6320.166826248169,10678.44295501709,17424.86310005188,6742.499113082886,10682.363986968994,33670.28594017029,22979.18701171875,10691.098928451538,,17992.398262023926,7319.281339645386,10673.11692237854,18015.767812728882,7352.813720703125,10662.954092025757,35952.11887359619,25284.0518951416,10668.06697845459,
