original_pipeline,original_pipeline_preprocess,original_pipeline_eval,detect_eval_1,detect_eval_1_detect,detect_eval_1_eval,fix_eval_1,fix_eval_1_fix,fix_eval_1_eval,explanation_1
14452.340841293335,3650.7339477539062,10801.606893539429,14038.70415687561,2901.8449783325195,11136.85917854309,32899.340867996216,21785.3000164032,11114.040851593018,
14476.605892181396,3455.31964302063,11021.286249160767,14340.972661972046,3367.9039478302,10973.068714141846,31720.540046691895,21063.708066940308,10656.831979751587,
14065.125942230225,3432.0147037506104,10633.111238479614,13995.63717842102,3354.92205619812,10640.7151222229,31275.701999664307,20331.367015838623,10944.334983825684,
15730.614185333252,3979.3150424957275,11751.299142837524,17224.457025527954,6341.047048568726,10883.409976959229,34472.456216812134,23322.720050811768,11149.736166000366,
14755.355834960938,4143.263101577759,10612.092733383179,15006.273984909058,4290.585041046143,10715.688943862915,31511.587142944336,20877.861976623535,10633.7251663208,
14624.588012695312,3954.1499614715576,10670.438051223755,14861.245155334473,4220.357179641724,10640.887975692749,30422.76906967163,19749.091148376465,10673.677921295166,
14879.64129447937,4220.245122909546,10659.396171569824,15084.738731384277,4439.675807952881,10645.062923431396,31517.623901367188,20576.961994171143,10940.661907196045,
