original_pipeline,original_pipeline_preprocess,original_pipeline_eval,detect_eval_1,detect_eval_1_detect,detect_eval_1_eval,fix_eval_1,fix_eval_1_fix,fix_eval_1_eval,explanation_1,original_pipeline_diff,original_pipeline_diff_preprocess,original_pipeline_diff_eval,detect_eval_2,detect_eval_2_detect,detect_eval_2_eval,fix_eval_2,fix_eval_2_fix,fix_eval_2_eval,explanation_2
29861.61494255066,19103.349924087524,10758.265018463135,30534.50107574463,19770.622968673706,10763.878107070923,30657.39893913269,19927.562952041626,10729.835987091064,,30802.65784263611,19989.338874816895,10813.318967819214,32371.402263641357,21599.735260009766,10771.667003631592,31624.784231185913,20851.5682220459,10773.216009140015,
30910.05802154541,20124.10306930542,10785.95495223999,31209.909915924072,20414.317846298218,10795.592069625854,31188.491106033325,20417.4861907959,10771.004915237427,,31610.177040100098,20831.905126571655,10778.271913528442,33009.03296470642,22245.0590133667,10763.973951339722,32528.768062591553,21749.085903167725,10779.682159423828,
31340.780019760132,20605.605125427246,10735.174894332886,32044.168949127197,21315.96088409424,10728.208065032959,31829.262018203735,21111.672163009644,10717.589855194092,,31028.968811035156,20306.022882461548,10722.945928573608,32093.628883361816,21384.825706481934,10708.803176879883,31746.160745620728,21015.439748764038,10730.72099685669,
30584.44881439209,19876.28197669983,10708.16683769226,31736.02318763733,20415.480136871338,11320.543050765991,31510.164260864258,20802.446126937866,10707.718133926392,,31203.572273254395,20492.696046829224,10710.87622642517,34029.15835380554,23299.64017868042,10729.518175125122,33467.30327606201,22763.716220855713,10703.587055206299,
32322.054862976074,21615.325927734375,10706.7289352417,33064.85295295715,22364.295959472656,10700.556993484497,33087.52799034119,22382.292985916138,10705.235004425049,,33508.83889198303,22783.05697441101,10725.781917572021,35383.898973464966,24624.969959259033,10758.929014205933,34404.7417640686,23659.66486930847,10745.076894760132,
33666.74995422363,22903.60975265503,10763.140201568604,34015.8007144928,23266.17169380188,10749.629020690918,33922.75810241699,23159.61503982544,10763.143062591553,,34161.89193725586,23414.70718383789,10747.184753417969,35953.67383956909,25221.58694267273,10732.086896896362,35212.8210067749,24415.01212120056,10797.80888557434,
33993.531703948975,23235.90087890625,10757.630825042725,34751.24216079712,23989.59493637085,10761.64722442627,34620.91112136841,23866.396188735962,10754.514932632446,,35071.78211212158,24330.645084381104,10741.137027740479,36533.00881385803,25785.19606590271,10747.812747955322,36403.02300453186,25017.625093460083,11385.397911071777,
