original_pipeline,original_pipeline_preprocess,original_pipeline_eval,detect_eval_1,detect_eval_1_detect,detect_eval_1_eval,fix_eval_1,fix_eval_1_fix,fix_eval_1_eval,explanation_1
3064.9311542510986,2557.6319694519043,507.29918479919434,3089.0581607818604,2569.66233253479,519.3958282470703,18911.120176315308,18416.69201850891,494.4281578063965,
2783.740282058716,2275.8491039276123,507.8911781311035,2512.6757621765137,2008.4278583526611,504.24790382385254,19760.90097427368,19250.833749771118,510.0672245025635,
2520.0741291046143,2018.9180374145508,501.1560916900635,2566.9591426849365,2070.905923843384,496.05321884155273,17602.710008621216,17081.188917160034,521.5210914611816,
2437.864065170288,1955.641269683838,482.2227954864502,2469.520092010498,1976.6452312469482,492.8748607635498,19887.224674224854,19389.26386833191,497.96080589294434,
2476.2868881225586,1988.1892204284668,488.0976676940918,2476.691961288452,1983.6013317108154,493.0906295776367,19927.58083343506,19436.45691871643,491.12391471862793,
2534.602165222168,2048.921823501587,485.68034172058105,2465.5470848083496,1971.3389873504639,494.20809745788574,17619.328022003174,17122.422218322754,496.9058036804199,
2455.9028148651123,1967.5118923187256,488.3909225463867,2754.1849613189697,1949.2809772491455,804.9039840698242,18101.155996322632,17612.8990650177,488.25693130493164,
