original_pipeline,original_pipeline_preprocess,original_pipeline_eval,detect_eval_1,detect_eval_1_detect,detect_eval_1_eval,fix_eval_1,fix_eval_1_fix,fix_eval_1_eval,explanation_1,original_pipeline_diff,original_pipeline_diff_preprocess,original_pipeline_diff_eval,detect_eval_2,detect_eval_2_detect,detect_eval_2_eval,fix_eval_2,fix_eval_2_fix,fix_eval_2_eval,explanation_2
21870.17512321472,11033.997058868408,10836.178064346313,21648.880004882812,10093.95694732666,11554.923057556152,24170.50004005432,12869.010925292969,11301.489114761353,,22242.350101470947,11499.59921836853,10742.750883102417,25465.986967086792,12064.945936203003,13401.041030883789,25559.380054473877,14255.573987960815,11303.806066513062,
18815.00005722046,8168.013095855713,10646.986961364746,21255.109310150146,9046.088933944702,12209.020376205444,22511.9731426239,11088.399171829224,11423.573970794678,,19552.7663230896,8919.678211212158,10633.088111877441,21304.309844970703,9140.008926391602,12164.300918579102,24169.059991836548,11713.650941848755,12455.409049987793,
19207.141876220703,8579.93197441101,10627.209901809692,21098.7811088562,8966.16506576538,12132.61604309082,23136.13271713257,11260.101795196533,11876.030921936035,,19961.118936538696,9312.679052352905,10648.439884185791,21915.822744369507,9728.419780731201,12187.402963638306,23652.055978775024,12507.752895355225,11144.3030834198,
19826.369047164917,9196.407079696655,10629.961967468262,20822.9398727417,9484.796047210693,11338.143825531006,24032.132148742676,11737.201929092407,12294.930219650269,,20665.220022201538,10004.797220230103,10660.422801971436,22609.39311981201,10323.117017745972,12286.27610206604,24918.164014816284,12759.96994972229,12158.194065093994,
20397.09520339966,9761.600017547607,10635.49518585205,21668.657779693604,10373.274803161621,11295.382976531982,24155.174016952515,12110.40997505188,12044.764041900635,,21198.68803024292,10556.105852127075,10642.582178115845,22248.16083908081,11054.239988327026,11193.920850753784,25466.660261154175,13047.969102859497,12418.691158294678,
21860.657930374146,11235.343217849731,10625.314712524414,21875.18620491028,10710.560083389282,11164.626121520996,25051.974058151245,12895.401000976562,12156.573057174683,,22202.07405090332,11542.91296005249,10659.16109085083,623231.0969829559,11567.315101623535,611663.7818813324,32253.057718276978,19727.585792541504,12525.471925735474,
26979.997158050537,16192.719221115112,10787.277936935425,28050.979137420654,16373.532056808472,11677.447080612183,31748.413801193237,19434.746742248535,12313.667058944702,,28314.656019210815,17489.18890953064,10825.467109680176,28795.49527168274,17473.472118377686,11322.023153305054,33162.98007965088,20835.669994354248,12327.31008529663,
