original_pipeline,original_pipeline_preprocess,original_pipeline_eval,detect_eval_1,detect_eval_1_detect,detect_eval_1_eval,fix_eval_1,fix_eval_1_fix,fix_eval_1_eval,explanation_1
20055.050134658813,8813.339233398438,11241.710901260376,21238.144874572754,10069.439888000488,11168.704986572266,20544.77286338806,9301.445960998535,11243.326902389526,
20066.862106323242,8914.699077606201,11152.163028717041,20861.464738845825,9679.014921188354,11182.44981765747,20620.004177093506,9485.396146774292,11134.608030319214,
20483.360052108765,9321.919918060303,11161.440134048462,21233.190059661865,10047.255039215088,11185.935020446777,20902.842044830322,9748.600959777832,11154.24108505249,
20826.276063919067,9669.456005096436,11156.820058822632,21379.056930541992,10128.200769424438,11250.856161117554,21776.176929473877,10209.856986999512,11566.319942474365,
20991.754055023193,9765.085935592651,11226.668119430542,21847.56875038147,10676.450967788696,11171.117782592773,23519.860982894897,12199.464797973633,11320.396184921265,
23466.779232025146,12218.962907791138,11247.816324234009,24195.706129074097,12962.406158447266,11233.299970626831,23735.694646835327,12556.052923202515,11179.641723632812,
23388.47517967224,12126.282930374146,11262.192249298096,23887.48788833618,12595.998764038086,11291.489124298096,25327.816009521484,13993.765115737915,11334.05089378357,
