original_pipeline,original_pipeline_preprocess,original_pipeline_eval,detect_eval_1,detect_eval_1_detect,detect_eval_1_eval,fix_eval_1,fix_eval_1_fix,fix_eval_1_eval,explanation_1
17388.21792602539,6123.342990875244,11264.874935150146,18598.743200302124,6674.9842166900635,11923.75898361206,20235.530138015747,8510.674953460693,11724.855184555054,
17543.787002563477,6331.4619064331055,11212.325096130371,19227.412939071655,6402.441024780273,12824.971914291382,20654.53314781189,7803.8740158081055,12850.659132003784,
17323.22096824646,6159.8780155181885,11163.342952728271,18201.920986175537,6404.315710067749,11797.605276107788,21409.08169746399,8759.490013122559,12649.59168434143,
17808.398962020874,6634.009122848511,11174.389839172363,19299.2000579834,7238.813161849976,12060.386896133423,21878.602027893066,10279.350996017456,11599.25103187561,
18680.455923080444,7778.611898422241,10901.844024658203,18847.602128982544,7183.6419105529785,11663.960218429565,20784.874200820923,8545.259237289429,12239.614963531494,
16982.654809951782,6366.375923156738,10616.278886795044,18821.29693031311,6714.918851852417,12106.378078460693,21504.953145980835,9463.056087493896,12041.897058486938,
17344.644784927368,6724.9720096588135,10619.672775268555,18375.678062438965,7016.244888305664,11359.4331741333,20485.697031021118,9371.104001998901,11114.593029022217,
